e_pas,ena,ek,Rin,tau,RMP
-95,45,-100,0.9388146008671252,77.64919400573099,-78.5240405410418
-95,45,-95,0.9392378973579305,77.61045378924473,-78.51628352266756
-95,45,-90,0.9396621246778974,77.57163304020747,-78.50851242924392
-95,45,-85,0.9400872867715477,77.5328252400506,-78.50072720191795
-95,45,-80,0.9405133876091906,77.49398555706942,-78.49292778144556
-95,50,-110,0.9380148020185055,77.7242602042052,-78.53883223561647
-95,50,-105,0.938436367611293,77.68559565439469,-78.53110136264006
-95,50,-100,0.9388588567870065,77.6468762291696,-78.52335652222595
-95,50,-95,0.9392822734432362,77.60813242965858,-78.51559765622822
-95,50,-90,0.9397066215029369,77.56930842713288,-78.50782470611614
-95,50,-85,0.9401319049146707,77.53049773157007,-78.5000376129707
-95,50,-80,0.9405581276528295,77.49165500333491,-78.49223631748103
-95,55,-110,0.938058832829012,77.72194969834813,-78.5381516585239
-95,55,-105,0.9384805175242258,77.68328160637077,-78.53041895455402
-95,55,-100,0.9389031263692798,77.6445580377168,-78.52267227420135
-95,55,-95,0.9393266632657181,77.60581100148337,-78.51491155925495
-95,55,-90,0.93975113214051,77.56698369947003,-78.50713675111848
-95,55,-85,0.9401765369462716,77.52816990816459,-78.49934779080678
-95,55,-80,0.9406028816614757,77.48932400048409,-78.49154461894197
-90,25,-110,1.0008670862546822,70.99829704861473,-74.42311054819896
-90,25,-105,1.001608148198015,70.9402734929835,-74.41027168192353
-90,25,-100,1.002351887108143,70.88216470358519,-74.39739388039942
-90,25,-95,1.0030983219719236,70.82397042945216,-74.38447687474896
-90,25,-90,1.0038474719852326,70.76568988626947,-74.37152039315032
-90,25,-85,1.0045993565559477,70.707406957743,-74.35852416079294
-90,25,-80,1.0053539953075323,70.64895989910637,-74.34548789983185
-90,30,-110,1.0009829504756556,70.99317145298454,-74.42138652362759
-90,30,-105,1.0017245368527552,70.93513484852492,-74.40854008775806
-90,30,-100,1.002468804407813,70.87701302642621,-74.39565465621241
-90,30,-95,1.0032157721776251,70.81880546329623,-74.38272995939732
-90,30,-90,1.0039654594087142,70.76051177937389,-74.369765724764
-90,30,-85,1.0047178855605645,70.7022163806098,-74.35676167676314
-90,30,-80,1.0054730703090076,70.64375590534561,-74.3437175367995
-90,35,-110,1.0010989060916895,70.98804407702188,-74.41966115599315
-90,35,-105,1.0018410177419181,70.92999447705076,-74.40680713819494
-90,35,-100,1.0025858147921038,70.87185956443317,-74.39391406413402
-90,35,-95,1.0033333163290945,70.81363888223242,-74.38098166349862
-90,35,-90,1.004083541650414,70.75533183850011,-74.36800966301033
-90,35,-85,1.0048365102671941,70.69702388580437,-74.35499778637856
-90,35,-80,1.0055922419078829,70.63855004600323,-74.34194575425484
-90,40,-110,1.001214953258703,70.98291497569375,-74.41793444291618
-90,40,-105,1.0019575910236147,70.92485238330447,-74.40507283082128
-90,40,-100,1.0027029184213463,70.86670426927398,-74.39217210171716
-90,40,-95,1.0034509545890336,70.8084703602522,-74.3792319845713
-90,40,-90,1.0042017188752437,70.75015002653889,-74.36625220537277
-90,40,-85,1.004955230843117,70.6918297844697,-74.35323248708681
-90,40,-80,1.00571151027381,70.63334233298177,-74.34017254960885
-90,45,-110,1.0013310921330323,70.97778407072593,-74.41620638201053
-90,45,-105,1.0020742568563843,70.91970837256963,-74.40333716321719
-90,45,-100,1.0028201154563197,70.86154720062022,-74.39042876650802
-90,45,-95,1.0035686871204574,70.80330009073163,-74.37748092012676
-90,45,-90,1.0043199912485707,70.7450473427114,-74.36449334932736
-90,45,-85,1.005074047456068,70.68663370549994,-74.35146577632797
-90,45,-80,1.005830875576912,70.6281328427686,-74.33839792026512
-90,50,-110,1.0014473228714413,70.97265133703752,-74.41447697088294
-90,50,-105,1.0021910153991989,70.91456271748626,-74.40160013295606
-90,50,-100,1.002937406058231,70.85638834609775,-74.3886840560457
-90,50,-95,1.0036865140868652,70.7981279733591,-74.37572846766925
-90,50,-90,1.004438358936253,70.73986288587683,-74.36273309234288
-90,50,-85,1.0051929602742231,70.68143578417975,-74.34969765153467
-90,50,-80,1.005950337987788,70.62292152157531,-74.3366218636195
-90,55,-110,1.0015636456311092,70.96751697432215,-74.41274620713367
-90,55,-105,1.002307866811443,70.90941519624532,-74.39986173760424
-90,55,-100,1.0030547903887403,70.8512276833671,-74.38693796786217
-90,55,-95,1.0038044356521463,70.79295410163064,-74.37397462469589
-90,55,-90,1.0045568221045653,70.73467648012202,-74.36097143188074
-90,55,-85,1.0053119694662325,70.67623606496113,-74.3479281101321
-90,55,-80,1.0060698976775178,70.6177083269401,-74.33484437706021
-85,25,-110,1.0692594743106199,65.45025895167579,-70.05656047271803
